"Postcode","Division","District","Thana","SubOffice","PostCode"
"1206","ঢাকা","ঢাকা","ঢাকা সেনানিবাস","ঢাকা সেনানিবাস TSO","১২০৬"
"1350","ঢাকা","ঢাকা","ধামরাই","ধামরাই","১৩৫০"
"1209","ঢাকা","ঢাকা","ধানমন্ডি","জিগাতলা TSO","১২০৯"
"1213","ঢাকা","ঢাকা","গুলশান","বনানী TSO","১২১৩"
"1212","ঢাকা","ঢাকা","গুলশান","গুলশান মডেল টাউন","১২১২"
"1236","ঢাকা","Dhaka","Jatrabari","Dhania TSO","১২৩৬"
"1331","ঢাকা","ঢাকা","জয়পাড়া","পালামগঞ্জ","১৩৩১"
"1332","ঢাকা","ঢাকা","জয়পাড়া","নারিশা","১৩৩২"
"1312","ঢাকা","ঢাকা","কেরানীগঞ্জ","আটি","১৩১২"
"1311","ঢাকা","ঢাকা","কেরানীগঞ্জ","ঢাকা পাট কল","১৩১১"
"1313","ঢাকা","ঢাকা","কেরানীগঞ্জ","কালাটিয়া","১৩১৩"
"1310","ঢাকা","ঢাকা","কেরানীগঞ্জ","কেরানীগঞ্জ","১৩১০"
"1219","ঢাকা","ঢাকা","খিলগাঁও","খিলগাঁও TSO","১২১৯"
"1229","ঢাকা","ঢাকা","খিলক্ষেত","খিলক্ষেত TSO","১২২৯"
"1211","ঢাকা","ঢাকা","লালবাগ","পোস্তা TSO","১২১১"
"1216","ঢাকা","ঢাকা","মিরপুর","মিরপুর TSO","১২১৬"
"1207","ঢাকা","ঢাকা","মোহাম্মদপুর","মোহাম্মদপুর হাউজিং","১২০৭"
"1225","ঢাকা","ঢাকা","মোহাম্মদপুর","সংসদ ভবন TSO","১২২৫"
"1222","ঢাকা","ঢাকা","মতিঝিল","বঙ্গভবন TSO","১২২২"
"1223","ঢাকা","ঢাকা","মতিঝিল","দিলকুশা TSO","১২২৩"
"1323","ঢাকা","ঢাকা","নবাবগঞ্জ","আগলা","১৩২৩"
"1325","ঢাকা","ঢাকা","নবাবগঞ্জ","চুরাইন","১৩২৫"
"1322","ঢাকা","ঢাকা","নবাবগঞ্জ","দাউদপুর","১৩২২"
"1321","ঢাকা","ঢাকা","নবাবগঞ্জ","হাসনাবাদ","১৩২১"
"1324","ঢাকা","ঢাকা","নবাবগঞ্জ","খালপাড়","১৩২৪"
"1320","ঢাকা","ঢাকা","নবাবগঞ্জ","নবাবগঞ্জ","১৩২০"
"1205","ঢাকা","ঢাকা","নতুন বাজার","নিউমার্কেট TSO","১২০৫"
"1000","ঢাকা","ঢাকা","পল্টন","ঢাকা জিপিও","১০০০"
"1217","ঢাকা","ঢাকা","রমনা","শান্তিনগর TSO","১২১৭"
"1214","ঢাকা","ঢাকা","সবুজবাগ","বাসাবো TSO","১২১৪"
"1348","ঢাকা","ঢাকা","সাভার","আমিন বাজার","১৩৪৮"
"1341","ঢাকা","ঢাকা","সাভার","গব্যশালা","১৩৪১"
"1349","ঢাকা","ঢাকা","সাভার","ইপিজেড","১৩৪৯"
"1342","ঢাকা","ঢাকা","সাভার","জাহাঙ্গীরনগর বিশ্ববিদ্যালয়","১৩৪২"
"1346","ঢাকা","ঢাকা","সাভার","কাশেম কটন মিলস","১৩৪৬"
"1347","ঢাকা","ঢাকা","সাভার","রাজফুললবাড়ীয়া","১৩৪৭"
"1340","ঢাকা","ঢাকা","সাভার","সাভার","১৩৪০"
"1344","ঢাকা","ঢাকা","সাভার","সাভার সেনানিবাস","১৩৪৪"
"1343","ঢাকা","ঢাকা","সাভার","সাভার বিপিএটিসি","১৩৪৩"
"1345","ঢাকা","ঢাকা","সাভার","শিমুলিয়া","১৩৪৫"
"1100","ঢাকা","ঢাকা","সুত্রাপুর","ঢাকা সদর HO","১১০০"
"1204","ঢাকা","ঢাকা","সুত্রাপুর","গেণ্ডারিয়া TSO","১২০৪"
"1203","ঢাকা","ঢাকা","সুত্রাপুর","ওয়ারী TSO","১২০৩"
"1215","ঢাকা","ঢাকা","তেজগাঁও","তেজগাঁও TSO","১২১৫"
"1208","ঢাকা","ঢাকা","উত্তরা","উত্তরা মডেল টাউন TSO","১২০৮"
"1230","ঢাকা","ঢাকা","উত্তরা","উত্তরা মডেল টাউন TSO","১২৩০"
"7870","রাজশাহী","ফরিদপুর","আলফাডাঙ্গা","আলফাডাঙ্গা","৭৮৭০"
"7830","রাজশাহী","ফরিদপুর","ভাঙ্গা","ভাঙ্গা","৭৮৩০"
"7860","রাজশাহী","ফরিদপুর","বোয়ালমারী","বোয়ালমারী","৭৮৬০"
"7861","রাজশাহী","ফরিদপুর","বোয়ালমারী","রুপাতপাত","৭৮৬১"
"7810","রাজশাহী","ফরিদপুর","চরভদ্রাসন","চরভদ্রাসন","৭৮১০"
"7802","রাজশাহী","ফরিদপুর","ফরিদপুর সদর","অম্বিকাপুর","৭৮০২"
"7803","রাজশাহী","ফরিদপুর","ফরিদপুর সদর","বাইতুলমান পলিটেকনিক","৭৮০৩"
"7800","রাজশাহী","ফরিদপুর","ফরিদপুর সদর","ফরিদপুর সদর","৭৮০০"
"7801","রাজশাহী","ফরিদপুর","ফরিদপুর সদর","কানাইপুর","৭৮০১"
"7851","রাজশাহী","ফরিদপুর","মদুখালি","কামারখালি","৭৮৫১"
"7850","রাজশাহী","ফরিদপুর","মদুখালি","মদুখালি","৭৮৫০"
"7840","রাজশাহী","ফরিদপুর","নগরকান্দা","নগরকান্দা","৭৮৪০"
"7841","রাজশাহী","ফরিদপুর","নগরকান্দা","তালমা","৭৮৪১"
"7822","রাজশাহী","ফরিদপুর","সদরপুর","বিশ্বরোড জাকের মঞ্জিল","৭৮২২"
"7821","রাজশাহী","ফরিদপুর","সদরপুর","হাট ক্রিশাপুর","৭৮২১"
"7820","রাজশাহী","ফরিদপুর","শ্রী-অঙ্গন","শ্রী-অঙ্গন","৭৮২০"
"7804","রাজশাহী","ফরিদপুর","শ্রী-অঙ্গন","শ্রী-অঙ্গন","৭৮০৪"
"1703","ঢাকা","গাজীপুর","গাজীপুর সদর","B.O.F","১৭০৩"
"1701","ঢাকা","গাজীপুর","গাজীপুর সদর","B.R.R","১৭০১"
"1702","ঢাকা","গাজীপুর","গাজীপুর সদর","চান্দনা","১৭০২"
"1700","ঢাকা","গাজীপুর","গাজীপুর সদর","গাজীপুর সদর","১৭০০"
"1704","ঢাকা","গাজীপুর","গাজীপুর সদর","জাতীয় বিশ্ববিদ্যালয়","১৭০৪"
"1750","ঢাকা","গাজীপুর","কালিয়াকৈর","কালিয়াকৈর","১৭৫০"
"1751","ঢাকা","গাজীপুর","কালিয়াকৈর","সফিপুর","১৭৫১"
"1720","ঢাকা","গাজীপুর","কালীগঞ্জ","কালীগঞ্জ","১৭২০"
"1721","ঢাকা","গাজীপুর","কালীগঞ্জ","পুবাইল","১৭২১"
"1722","ঢাকা","গাজীপুর","কালীগঞ্জ","সান্তানপাড়া","১৭২২"
"1723","ঢাকা","গাজীপুর","কালীগঞ্জ","ভাওয়াল জামালপুর","১৭২৩"
"1730","ঢাকা","গাজীপুর","কাপাসিয়া","কাপাসিয়া","১৭৩০"
"1712","ঢাকা","গাজীপুর","মন্নুনগর","এরশাদ নগর","১৭১২"
"1710","ঢাকা","গাজীপুর","মন্নুনগর","মন্নুনগর","১৭১০"
"1711","ঢাকা","গাজীপুর","মন্নুনগর","নিশাত নগর","১৭১১"
"1743","ঢাকা","গাজীপুর","শ্রীপুর","বারমি","১৭৪৩"
"1747","ঢাকা","গাজীপুর","শ্রীপুর","বাশামুর","১৭৪৭"
"1748","ঢাকা","গাজীপুর","শ্রীপুর","বউবি","১৭৪৮"
"1745","ঢাকা","গাজীপুর","শ্রীপুর","কাওরাইড","১৭৪৫"
"1744","ঢাকা","গাজীপুর","শ্রীপুর","সাতখামার","১৭৪৪"
"1740","ঢাকা","গাজীপুর","শ্রীপুর","শ্রীপুর","১৭৪০"
"1741","ঢাকা","গাজীপুর","শ্রীপুর","রাজেন্দ্রপুর সেনানিবাস","১৭৪১"
"1742","ঢাকা","গাজীপুর","শ্রীপুর","রাজেন্দ্রপুর সেনানিবাস","১৭৪২"
"8102","বরিশাল","গোপালগঞ্জ","গোপালগঞ্জ সদর","বারফা","৮১০২"
"8013","বরিশাল","গোপালগঞ্জ","গোপালগঞ্জ সদর","চন্দ্রাদিঘীনালা","৮০১৩"
"8100","বরিশাল","গোপালগঞ্জ","গোপালগঞ্জ সদর","গোপালগঞ্জ সদর","৮১০০"
"8101","বরিশাল","গোপালগঞ্জ","গোপালগঞ্জ সদর","উলপুর","৮১০১"
"8133","বরিশাল","গোপালগঞ্জ","কাশিয়ানী","জনাপুর","৮১৩৩"
"8130","বরিশাল","গোপালগঞ্জ","কাশিয়ানী","কাশিয়ানী","৮১৩০"
"8131","বরিশাল","গোপালগঞ্জ","কাশিয়ানী","রামদিয়া কলেজ","৮১৩১"
"8132","বরিশাল","গোপালগঞ্জ","কাশিয়ানী","রাতোইল","৮১৩২"
"8110","বরিশাল","গোপালগঞ্জ","কোটালীপাড়া","কোটালীপাড়া","৮১১০"
"8141","বরিশাল","গোপালগঞ্জ","মাকসুদপুর","বাটিকামারী","৮১৪১"
"8142","বরিশাল","গোপালগঞ্জ","মাকসুদপুর","খানদারপাড়া","৮১৪২"
"8140","বরিশাল","গোপালগঞ্জ","মাকসুদপুর","মাকসুদপুর","৮১৪০"
"8121","বরিশাল","গোপালগঞ্জ","টুঙ্গিপাড়া","টুঙ্গিপাড়া","৮১২১"
"8120","বরিশাল","গোপালগঞ্জ","টুঙ্গিপাড়া","টুঙ্গিপাড়া","৮১২০"
"2336","ময়মনসিংহ","কিশোরগঞ্জ","বাজিতপুর","বাজিতপুর","২৩৩৬"
"2338","ময়মনসিংহ","কিশোরগঞ্জ","বাজিতপুর","লক্ষ্মীপুর","২৩৩৮"
"2337","ময়মনসিংহ","কিশোরগঞ্জ","বাজিতপুর","সরারচর","২৩৩৭"
"2350","ময়মনসিংহ","কিশোরগঞ্জ","ভৈরব","ভৈরব","২৩৫০"
"2320","ময়মনসিংহ","কিশোরগঞ্জ","হোসেনপুর","হোসেনপুর","২৩২০"
"2390","ময়মনসিংহ","কিশোরগঞ্জ","ইটনা","ইটনা","২৩৯০"
"2310","ময়মনসিংহ","কিশোরগঞ্জ","করিমগঞ্জ","করিমগঞ্জ","২৩১০"
"2331","ময়মনসিংহ","কিশোরগঞ্জ","কটিয়াদি","গচিহাটা","২৩৩১"
"2330","ময়মনসিংহ","কিশোরগঞ্জ","কটিয়াদি","কটিয়াদি","২৩৩০"
"2301","ময়মনসিংহ","কিশোরগঞ্জ","কিশোরগঞ্জ সদর","কিশোরগঞ্জ এস.মিলস","২৩০১"
"2300","ময়মনসিংহ","কিশোরগঞ্জ","কিশোরগঞ্জ সদর","কিশোরগঞ্জ সদর","২৩০০"
"2302","ময়মনসিংহ","কিশোরগঞ্জ","কিশোরগঞ্জ সদর","মাইজহাটি","২৩০২"
"2303","ময়মনসিংহ","কিশোরগঞ্জ","কিশোরগঞ্জ সদর","নীলগঞ্জ","২৩০৩"
"2341","ময়মনসিংহ","কিশোরগঞ্জ","কুলিয়ারচর","ছয়সুটি","২৩৪১"
"2340","ময়মনসিংহ","কিশোরগঞ্জ","কুলিয়ারচর","কুলিয়ারচর","২৩৪০"
"2371","ময়মনসিংহ","কিশোরগঞ্জ","মিঠামইন","আব্দুল্লাহপুর","২৩৭১"
"2370","ময়মনসিংহ","কিশোরগঞ্জ","মিঠামইন","মিঠামইন","২৩৭০"
"2360","ময়মনসিংহ","কিশোরগঞ্জ","নিকলী","নিকলী","২৩৬০"
"2380","ময়মনসিংহ","কিশোরগঞ্জ","অস্টগ্রাম","অস্টগ্রাম","২৩৮০"
"2326","ময়মনসিংহ","কিশোরগঞ্জ","তারিয়াল","তারিয়াল","২৩২৬"
"2316","ময়মনসিংহ","কিশোরগঞ্জ","তারিয়াল","তারিয়াল","২৩১৬"
"7932","রাজশাহী","মাদারীপুর","বারহামগঞ্জ","বাহাদুরপুর","৭৯৩২"
"7930","রাজশাহী","মাদারীপুর","বারহামগঞ্জ","বারহামগঞ্জ","৭৯৩০"
"7931","রাজশাহী","মাদারীপুর","বারহামগঞ্জ","নিলাকসমিবান্দার","৭৯৩১"
"7933","রাজশাহী","মাদারীপুর","বারহামগঞ্জ","উমেদপুর","৭৯৩৩"
"7920","রাজশাহী","মাদারীপুর","কালকিনি","কালকিনি","৭৯২০"
"7921","রাজশাহী","মাদারীপুর","কালকিনি","সাহাবরামপুর","৭৯২১"
"7901","রাজশাহী","মাদারীপুর","মাদারীপুর সদর","চরমুগরিয়া","৭৯০১"
"7903","রাজশাহী","মাদারীপুর","মাদারীপুর সদর","হবিগঞ্জ","৭৯০৩"
"7902","রাজশাহী","মাদারীপুর","মাদারীপুর সদর","কুলপাদ্দি","৭৯০২"
"7900","রাজশাহী","মাদারীপুর","মাদারীপুর সদর","মাদারীপুর সদর","৭৯০০"
"7904","রাজশাহী","মাদারীপুর","মাদারীপুর সদর","মুস্তফাপুর","৭৯০৪"
"7911","রাজশাহী","মাদারীপুর","রাজৈর","রাজৈর","৭৯১১"
"7910","রাজশাহী","মাদারীপুর","রাজৈর","রাজৈর","৭৯১০"
"1860","ঢাকা","মানিকগঞ্জ","দৌলতপুর","দৌলতপুর","১৮৬০"
"1840","ঢাকা","মানিকগঞ্জ","ঘিওর","ঘিওর","১৮৪০"
"1831","ঢাকা","মানিকগঞ্জ","লেছড়াগঞ্জ","ঝিটকা","১৮৩১"
"1830","ঢাকা","মানিকগঞ্জ","বারহামগঞ্জ","বারহামগঞ্জ","১৮৩০"
"1804","ঢাকা","মানিকগঞ্জ","মানিকগঞ্জ সদর","বরংগাইল","১৮০৪"
"1802","ঢাকা","মানিকগঞ্জ","মানিকগঞ্জ সদর","গড়পাড়া","১৮০২"
"1803","ঢাকা","মানিকগঞ্জ","মানিকগঞ্জ সদর","মহাদেবপুর","১৮০৩"
"1801","ঢাকা","মানিকগঞ্জ","মানিকগঞ্জ সদর","মানিকগঞ্জ বাজার","১৮০১"
"1800","ঢাকা","মানিকগঞ্জ","মানিকগঞ্জ সদর","মানিকগঞ্জ সদর","১৮০০"
"1811","ঢাকা","মানিকগঞ্জ","সাটুরিয়া","বালিয়াটি","১৮১১"
"1810","ঢাকা","মানিকগঞ্জ","সাটুরিয়া","সাটুরিয়া","১৮১০"
"1851","ঢাকা","মানিকগঞ্জ","শিবালয়","আরিচা","১৮৫১"
"1850","ঢাকা","মানিকগঞ্জ","শিবালয়","শিবালয়","১৮৫০"
"1852","ঢাকা","মানিকগঞ্জ","শিবালয়","তেওতা","১৮৫২"
"1853","ঢাকা","মানিকগঞ্জ","শিবালয়","উঠলি","১৮৫৩"
"1821","ঢাকা","মানিকগঞ্জ","সিংগাইর","বায়রা","১৮২১"
"1822","ঢাকা","মানিকগঞ্জ","সিংগাইর","সিংগাইর","১৮২২"
"1820","ঢাকা","মানিকগঞ্জ","সিংগাইর","সিংগাইর","১৮২০"
"1510","ঢাকা","মুন্সিগঞ্জ","গজারিয়া","গজারিয়া","১৫১০"
"1511","ঢাকা","মুন্সিগঞ্জ","গজারিয়া","হোসেন্দি","১৫১১"
"1512","ঢাকা","মুন্সিগঞ্জ","গজারিয়া","রসুলপুর","১৫১২"
"1334","ঢাকা","Munshiganj","Lohajong","Gouragonj","১৩৩৪"
"1534","ঢাকা","মুন্সিগঞ্জ","লৌহজং","গৌড়গঞ্জ","১৫৩৪"
"1532","ঢাকা","মুন্সিগঞ্জ","লৌহজং","হলদিয়া তাই","১৫৩২"
"1333","ঢাকা","মুন্সিগঞ্জ","লৌহজং","হারিদিয়া","১৩৩৩"
"1533","ঢাকা","মুন্সিগঞ্জ","লৌহজং","হারিদিয়া DESO","১৫৩৩"
"1531","ঢাকা","মুন্সিগঞ্জ","লৌহজং","করহাতি","১৫৩১"
"1530","ঢাকা","মুন্সিগঞ্জ","লৌহজং","লৌহজং","১৫৩০"
"1335","ঢাকা","মুন্সিগঞ্জ","লৌহজং","মেদিনী মণ্ডল","১৩৩৫"
"1535","ঢাকা","মুন্সিগঞ্জ","লৌহজং","মেদিনী মন্ডল EDSO","১৫৩৫"
"1503","ঢাকা","মুন্সিগঞ্জ","মুন্সীগঞ্জ সদর","কাঠাখালি","১৫০৩"
"1502","ঢাকা","মুন্সিগঞ্জ","মুন্সীগঞ্জ সদর","মিরকাদিম","১৫০২"
"1500","ঢাকা","মুন্সিগঞ্জ","মুন্সীগঞ্জ সদর","মুন্সীগঞ্জ সদর","১৫০০"
"1501","ঢাকা","মুন্সিগঞ্জ","মুন্সীগঞ্জ সদর","রিকাবিবাজার","১৫০১"
"1542","ঢাকা","মুন্সিগঞ্জ","সিরাজদিখান","ইছাপুর","১৫৪২"
"1541","ঢাকা","মুন্সিগঞ্জ","সিরাজদিখান","কোলা","১৫৪১"
"1543","ঢাকা","মুন্সিগঞ্জ","সিরাজদিখান","মালখানগর","১৫৪৩"
"1544","ঢাকা","মুন্সিগঞ্জ","সিরাজদিখান","শেখের নগর","১৫৪৪"
"1540","ঢাকা","মুন্সিগঞ্জ","সিরাজদিখান","সিরাজদিখান","১৫৪০"
"1557","ঢাকা","মুন্সিগঞ্জ","শ্রীনগর","বাঘড়া","১৫৫৭"
"1551","ঢাকা","মুন্সিগঞ্জ","শ্রীনগর","বারিখাল","১৫৫১"
"1558","ঢাকা","মুন্সিগঞ্জ","শ্রীনগর","ভাগ্যকুল","১৫৫৮"
"1553","ঢাকা","মুন্সিগঞ্জ","শ্রীনগর","হাশারা","১৫৫৩"
"1554","ঢাকা","মুন্সিগঞ্জ","শ্রীনগর","কলাপাড়া","১৫৫৪"
"1555","ঢাকা","মুন্সিগঞ্জ","শ্রীনগর","কুমারভগ","১৫৫৫"
"1552","ঢাকা","মুন্সিগঞ্জ","শ্রীনগর","মাজপাড়া","১৫৫২"
"1550","ঢাকা","মুন্সিগঞ্জ","শ্রীনগর","শ্রীনগর","১৫৫০"
"1556","ঢাকা","মুন্সিগঞ্জ","শ্রীনগর","ভাগ্যকুল তাই","১৫৫৬"
"1523","ঢাকা","মুন্সিগঞ্জ","টাংগিবাড়ি","বিজরাজুগিনি","১৫২৩"
"1522","ঢাকা","মুন্সিগঞ্জ","টাংগিবাড়ি","বালিগাও","১৫২২"
"1521","ঢাকা","মুন্সিগঞ্জ","টাংগিবাড়ি","বেটকারহাট","১৫২১"
"1525","ঢাকা","মুন্সিগঞ্জ","টাংগিবাড়ি","দিঘিরপাড়","১৫২৫"
"1524","ঢাকা","মুন্সিগঞ্জ","টাংগিবাড়ি","হাসাইল","১৫২৪"
"1527","ঢাকা","মুন্সিগঞ্জ","টাংগিবাড়ি","পুরা","১৫২৭"
"1526","ঢাকা","মুন্সিগঞ্জ","টাংগিবাড়ি","টাংগিবাড়ি","১৫২৬"
"1520","ঢাকা","মুন্সিগঞ্জ","টাংগিবাড়ি","টাংগিবাড়ি","১৫২০"
"1450","ঢাকা","নারায়ণগঞ্জ","আড়াইহাজার","আড়াইহাজার","১৪৫০"
"1460","ঢাকা","নারায়ণগঞ্জ","রূপগঞ্জ","রূপগঞ্জ","১৪৬০"
"1451","ঢাকা","নারায়ণগঞ্জ","আড়াইহাজার","গোপালদি","১৪৫১"
"1440","ঢাকা","Narayanganj","Baidder Bazar","Baidder Bazar","১৪৪০"
"1441","ঢাকা","নারায়ণগঞ্জ","বাইদ্দের বাজার","বারো নগর","১৪৪১"
"1442","ঢাকা","নারায়ণগঞ্জ","বাইদ্দের বাজার","বারোদি","১৪৪২"
"1410","ঢাকা","নারায়ণগঞ্জ","বন্দর","বন্দর","১৪১০"
"1413","ঢাকা","নারায়ণগঞ্জ","বন্দর","বিআইডিএস","১৪১৩"
"1411","ঢাকা","নারায়ণগঞ্জ","বন্দর","ডি.সি মিলস","১৪১১"
"1414","ঢাকা","নারায়ণগঞ্জ","বন্দর","মদনগঞ্জ","১৪১৪"
"1412","ঢাকা","নারায়ণগঞ্জ","বন্দর","নবীগঞ্জ","১৪১২"
"1421","ঢাকা","নারায়ণগঞ্জ","ফতুল্লা","ফতুল্লা বাজার","১৪২১"
"1420","ঢাকা","নারায়ণগঞ্জ","ফতুল্লা","ফতুল্লা","১৪২০"
"1400","ঢাকা","নারায়ণগঞ্জ","নারায়ণগঞ্জ সদর","নারায়ণগঞ্জ সদর","১৪০০"
"1462","ঢাকা","নারায়ণগঞ্জ","রূপগঞ্জ","ভুলতা","১৪৬২"
"1461","ঢাকা","নারায়ণগঞ্জ","রূপগঞ্জ","কাঞ্চন","১৪৬১"
"1464","ঢাকা","নারায়ণগঞ্জ","রূপগঞ্জ","মুরাপাড়া","১৪৬৪"
"1463","ঢাকা","নারায়ণগঞ্জ","রূপগঞ্জ","নগরি","১৪৬৩"
"1431","ঢাকা","নারায়ণগঞ্জ","সিদ্ধিরগঞ্জ","আদামজীনগর","১৪৩১"
"1432","ঢাকা","নারায়ণগঞ্জ","সিদ্ধিরগঞ্জ","সিদ্ধিরগঞ্জ","১৪৩২"
"1430","ঢাকা","নারায়ণগঞ্জ","সিদ্ধিরগঞ্জ","সিদ্ধিরগঞ্জ","১৪৩০"
"1640","ঢাকা","নরসিংদী","বেলাব","বেলাব","১৬৪০"
"1651","ঢাকা","নরসিংদী","মনোহরদি","হাতিরদিয়া","১৬৫১"
"1652","ঢাকা","নরসিংদী","মনোহরদি","কাটাবাড়িয়া","১৬৫২"
"1650","ঢাকা","নরসিংদী","মনোহরদি","মনোহরদি","১৬৫০"
"1605","ঢাকা","নরসিংদী","নরসিংদী সদর","করিমপুর","১৬০৫"
"1604","ঢাকা","নরসিংদী","নরসিংদী সদর","মাধবদী","১৬০৪"
"1602","ঢাকা","নরসিংদী","নরসিংদী সদর","নরসিংদী কলেজ","১৬০২"
"1600","ঢাকা","নরসিংদী","নরসিংদী সদর","নরসিংদী সদর","১৬০০"
"1603","ঢাকা","নরসিংদী","নরসিংদী সদর","পাঁচদোনা","১৬০৩"
"1601","ঢাকা","নরসিংদী","নরসিংদী সদর","UMC জুট মিলস","১৬০১"
"1612","ঢাকা","নরসিংদী","পলাশ","চরসিন্ধুর","১৬১২"
"1613","ঢাকা","নরসিংদী","পলাশ","ঘোড়াশাল","১৬১৩"
"1611","ঢাকা","নরসিংদী","পলাশ","ঘোড়াশাল ইউরিয়া ফ্যাক্টুরি","১৬১১"
"1610","ঢাকা","নরসিংদী","পলাশ","পলাশ","১৬১০"
"1631","ঢাকা","নরসিংদী","রায়পুর","বাজার হাসনাবাদ","১৬৩১"
"1632","ঢাকা","নরসিংদী","রায়পুর","রাধাগঞ্জ বাজার","১৬৩২"
"1630","ঢাকা","নরসিংদী","শিবপুর","শিবপুর","১৬৩০"
"1620","ঢাকা","নরসিংদী","শিবপুর","শিবপুর","১৬২০"
